STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1995-Q1,,7.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1995-Q2,,6.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1995-Q3,,6.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1995-Q4,,6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1996-Q1,,6.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1996-Q2,,6.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1996-Q3,,5.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1996-Q4,,6.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1997-Q1,,6.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1997-Q2,,7.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1997-Q3,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1997-Q4,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1998-Q1,,6.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1998-Q2,,6.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1998-Q3,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1998-Q4,,5.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1999-Q1,,6.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1999-Q2,,6.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1999-Q3,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,1999-Q4,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2000-Q1,,7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2000-Q2,,6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2000-Q3,,6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2000-Q4,,6.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2001-Q1,,6.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2001-Q2,,6.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2001-Q3,,6.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2001-Q4,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2002-Q1,,6.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2002-Q2,,6.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2002-Q3,,5.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2002-Q4,,5.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2003-Q1,,6.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2003-Q2,,6.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2003-Q3,,6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2003-Q4,,6.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2004-Q1,,6.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2004-Q2,,6.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2004-Q3,,6.3,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2004-Q4,,5.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2005-Q1,,7.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2005-Q2,,8.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2005-Q3,,7.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2005-Q4,,7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2006-Q1,,7.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2006-Q2,,7.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2006-Q3,,7.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2006-Q4,,7.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2007-Q1,,8.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2007-Q2,,8.6,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2007-Q3,,8.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2007-Q4,,8.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2008-Q1,,9.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2008-Q2,,9.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2008-Q3,,8.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2008-Q4,,8.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2009-Q1,,9.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2009-Q2,,9.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2009-Q3,,8.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2009-Q4,,8.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2010-Q1,,9.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2010-Q2,,9.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2010-Q3,,8.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2010-Q4,,8.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2011-Q1,,9.5,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2011-Q2,,9.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2011-Q3,,7.9,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2011-Q4,,8.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2012-Q1,,10.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2012-Q2,,9.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2012-Q3,,8.1,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2012-Q4,,9.2,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2013-Q1,,9.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2013-Q2,,8.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2013-Q3,,8.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2013-Q4,,8.4,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2014-Q1,,9.7,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2014-Q2,,8.8,,NUM,Number,3,Thousands,,,,
DATAFLOW,ABS:ERP_COMP_Q(1.0.0),"Population and components of change - national, states and territories",I,3,Natural Increase,3,Queensland,Q,Quarterly,2014-Q3,,8.2,,NUM,Number,3,Thousands,,,,
